time	group	action
1386342787057	layout_planing	seek_start
1386342787146	layout_planing	seek_end
1386342792052	layout_planing	seek_start
1386342792170	layout_planing	seek_end
1386342793160	layout_planing	seek_start
1386342793303	layout_planing	seek_end
1386342794180	layout_planing	seek_start
1386342794293	layout_planing	seek_end
1386342795011	layout_planing	seek_start
1386342795110	layout_planing	seek_end
1386342795738	layout_planing	seek_start
1386342795830	layout_planing	seek_end
1386342797660	layout_planing	seek_start
1386342797748	layout_planing	seek_end
1386342798410	layout_planing	seek_start
1386342798498	layout_planing	seek_end
1386342799086	layout_planing	seek_start
1386342799160	layout_planing	seek_end
1386342799881	layout_planing	seek_start
1386342799979	layout_planing	seek_end
1386342806133	layout_planing	seek_start
1386342806212	layout_planing	seek_end
1386342806903	layout_planing	seek_start
1386342806968	layout_planing	seek_end
1386342810951	layout_planing	seek_start
1386342811050	layout_planing	seek_end
1386342811820	layout_planing	seek_start
1386342811887	layout_planing	seek_end
1386342812894	layout_planing	seek_start
1386342813003	layout_planing	seek_end
1386342813944	layout_planing	seek_start
1386342814055	layout_planing	seek_end
1386342815907	layout_planing	seek_start
1386342816007	layout_planing	seek_end
1386342816703	layout_planing	seek_start
1386342816801	layout_planing	seek_end
1386342817528	layout_planing	seek_start
1386342817624	layout_planing	seek_end
1386342819369	layout_planing	seek_start
1386342819471	layout_planing	seek_end
1386342835860	layout_planing	seek_start
1386342835994	layout_planing	seek_end
1386342836639	layout_planing	seek_start
1386342836735	layout_planing	seek_end
1386342837355	layout_planing	seek_start
1386342837448	layout_planing	seek_end
1386342839430	layout_planing	seek_start
1386342839501	layout_planing	seek_end
1386342840104	layout_planing	seek_start
1386342840182	layout_planing	seek_end
1386342840930	layout_planing	seek_start
1386342841025	layout_planing	seek_end
1386342847785	layout_planing	seek_start
1386342847903	layout_planing	seek_end
1386342848781	layout_planing	seek_start
1386342848914	layout_planing	seek_end
1386342919349	dist_layout	videopaused
1386342964622	layout_planing	seek_start
1386342964731	layout_planing	seek_end
1386342966150	layout_planing	seek_start
1386342966269	layout_planing	seek_end
1386343071169	product_layouts	videoplayed
1386343098162	dist_layout	saveannotation assessment
1386343098162	dist_layout	videoplayed
1386343098693	dist_layout	assessmentdisplaybegin
1386343102756	dist_layout	submitassessmenttask
1386343107062	dist_layout	videoplayed
1386343112241	dist_layout	videopaused
1386343113411	dist_layout	videoplayed
